path,format,producer,producer_model,producer_version,source,source_path,license,provenance_confidence,sha256,size_bytes,width,height,metadata_summary,validation_status,notes
generated/jpeg/progressive-truncated.jpg,JPEG,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,c61f93aa405dbd39847d957f3d80c413d4942a60d2b9833faaa30ea3deb12bb7,307,identify:,Premature,33; 17;,valid,clearly labelled generated edge case
generated/jpeg/progressive.jpg,JPEG,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,c821438a6c4dc6d62c57a809bafe39acf5e83d95deeff0add0cf5cfc855b14e4,614,33,17,33; 17;,valid,clearly labelled generated edge case
generated/jpeg/subsampling-444.jpg,JPEG,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,0b393031fec367cbc2b694768004abc9e362ef5125615e92fdad8f1495c682d8,366,33,17,33; 17;,valid,clearly labelled generated edge case
generated/pdf/minimal-xref-table.pdf,PDF,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,feb66bdd4ee31148c2b34d52ea676118ce3add57177b5fe2303df1f9700a40f3,215,,,1.5; 0;,malformed-but-useful: qpdf --check failed,clearly labelled generated edge case
generated/png/interlaced-truncated.png,PNG,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,fe4266248cf197f558cbde51aa195634cf08b166db3cc87b11303e9de1d02a5c,135,identify:,Expected,33; 17;,malformed-but-useful: decoder rejected,clearly labelled generated edge case
generated/png/interlaced.png,PNG,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,628f99c59381f344903c00f7a4885c8c5de5ba534e26c736b04c4081ccf4f8ca,271,33,17,33; 17;,valid,clearly labelled generated edge case
generated/png/palette.png,PNG,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,06e1b280f6736a9e60cd81087dca11f7d3b3ea51c5c7c5be5187ddd587470036,201,33,17,33; 17;,valid,clearly labelled generated edge case
generated/webp/from-jpeg-exif.webp,WebP,libwebp cwebp (JPEG->WebP conversion),,,locally generated,locally generated,see upstream repository,GENERATED,52c2e8efedb2f7216eb6c4ad26c33b2f4f5c0ae81035ddcb3f95b67c85bcb69c,7928,100,68,100; 68; Canon; Canon EOS 40D; Horizontal (normal); sRGB IEC61966-2.1;,valid,Real Canon Exif and ICC carried across a format conversion by cwebp -metadata all; closes the conversion-path gap in docs/THREAT_MODEL.md 7.4
generated/webp/lossless-alpha.webp,WebP,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,5a7b162eae15e016acef79d1899fbd31313dc06e869a1483b3bb5939a2868a7b,58,33,17,33; 17;,valid,clearly labelled generated edge case
generated/webp/lossy-truncated.webp,WebP,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,a560e0a2548192d215d51d28c35707f4859601e5a0423507728c0879e020ef56,44,identify:,insufficient,Warning: Error reading RIFF file (corrupted?) - /Users/sacomtechnologies/Desktop/projects/strypt/real-producer-corpus/real-corpus/generated/webp/lossy-truncated.webp;,malformed-but-useful: decoder rejected,clearly labelled generated edge case
generated/webp/lossy.webp,WebP,generated locally,,,locally generated,generated locally,see upstream repository,GENERATED,1776fa809e5fb6bc0a5a705664a06ea699673f41eaabb7962c1537290ff12c21,88,33,17,33; 17;,valid,clearly labelled generated edge case
jpeg/android/HMD_Nokia_8.3_5G.jpg,JPEG,Android camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/mobile/HMD_Nokia_8.3_5G.jpg,see upstream repository,HIGH,f2eb33644f8b11eff9d14e47cba16d10225817e5b3c94279e40062399fa0dd40,2190200,4608,1976,4608; 1976; HMD Global; Nokia 8.3 5G; Horizontal (normal);,valid,Embedded HMD/Jolla device Make and Model
jpeg/android/HMD_Nokia_8.3_5G_hdr.jpg,JPEG,Android camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/mobile/HMD_Nokia_8.3_5G_hdr.jpg,see upstream repository,HIGH,74e2388f07213d55df16d47956d802a4406ccdfe4cd602abe95758eb530b0ed5,5168019,4608,3456,4608; 3456; HMD Global; Nokia 8.3 5G; Rotate 90 CW;,valid,Embedded HMD/Jolla device Make and Model
jpeg/android/Samsung_Digimax_i50_MP3.jpg,JPEG,Samsung camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Samsung_Digimax_i50_MP3.jpg,see upstream repository,HIGH,e61da5ee8d7ba1726bd0a887216ed5ae7ca38c97fcf7aac11b808e1c269e1722,45286,100,75,"100; 75; Samsung Techwin; <Digimax i50 MP3, Samsung #1 MP3>; Horizontal (normal);",valid,Embedded Samsung Make/Model
jpeg/android/jolla.jpg,JPEG,Android camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/mobile/jolla.jpg,see upstream repository,HIGH,ee6bc1200cf8b1b26f5b60d8294d9617e8099f6dfdd7a4757a424f332360f5e3,811904,3264,2448,3264; 2448; Jolla; Jolla; Horizontal (normal);,valid,Embedded HMD/Jolla device Make and Model
jpeg/canon/22-canon_tags.jpg,JPEG,Canon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/tests/22-canon_tags.jpg,see upstream repository,HIGH,494458d1d90e7d2b7c1aefe362cbf167ecdca1f3477f0bd2c801503a1d537b14,448492,1600,1200,1600; 1200; Canon; Canon PowerShot SD300; Horizontal (normal);,valid,MakerNote-focused upstream test sample
jpeg/canon/Canon_40D.jpg,JPEG,Canon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Canon_40D.jpg,see upstream repository,HIGH,6bfdabd4fc33d112283c147acccc574e770bbe6fbdbc3d4da968ba7b606ecc2f,7958,100,68,100; 68; Canon; Canon EOS 40D; Horizontal (normal); sRGB IEC61966-2.1;,valid,Exif Make/Model and MakerNote where present
jpeg/canon/Canon_40D_photoshop_import.jpg,JPEG,Canon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Canon_40D_photoshop_import.jpg,see upstream repository,HIGH,40a7aa2cc28d8544b31408e6d54c568e6b749a8faf239c7a6234b315e953b9d5,9686,100,77,100; 77; Horizontal (normal); sRGB IEC61966-2.1;,valid,Exif Make/Model and MakerNote where present
jpeg/canon/Canon_DIGITAL_IXUS_400.jpg,JPEG,Canon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Canon_DIGITAL_IXUS_400.jpg,see upstream repository,HIGH,35bf720e692071697c6db45eb0e6f0007f25e4fac752412daae9ab07a4c1ee1b,9207,100,75,100; 75; Canon; Canon DIGITAL IXUS 400; Horizontal (normal);,valid,Exif Make/Model and MakerNote where present
jpeg/canon/Canon_PowerShot_S40.jpg,JPEG,Canon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Canon_PowerShot_S40.jpg,see upstream repository,HIGH,7e4a3a3a0faf27e22a1b4b1b9bdf14f5324f05ebfb2a535e6207f118ab8f9f63,32102,480,360,480; 360; Canon; Canon PowerShot S40; Horizontal (normal);,valid,Exif Make/Model and MakerNote where present
jpeg/canon/canon-ixus.jpg,JPEG,Canon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/exif-org/canon-ixus.jpg,see upstream repository,HIGH,d3478b94870bdb85e2bbecacf861242cffbd84df3e661a3f5384e2d32a5cba64,127465,640,480,640; 480; Canon; Canon DIGITAL IXUS; Horizontal (normal);,valid,Exif-org camera sample
jpeg/iphone/IMG_5250.jpeg,JPEG,Apple iPhone,,,https://github.com/ianare/exif-samples,exif-samples/heic/IMG_5250.jpeg,see upstream repository,MEDIUM,30d9c78b6f7e7d44ae1bc850d977bdfd6886c249e172b64ecea46ac7fc3cfa6d,6992901,4032,3024,4032; 3024; Apple; iPhone 11 Pro Max; iPhone 11 Pro Max back triple camera 4.25mm f/1.8; Horizontal (normal); Display P3;,valid,Upstream original filename; validate embedded metadata
jpeg/iphone/iphone_hdr_NO.jpg,JPEG,Apple iPhone,,,https://github.com/ianare/exif-samples,exif-samples/jpg/hdr/iphone_hdr_NO.jpg,see upstream repository,MEDIUM,58ead30583f322c1752d18ee9fe6633723988329b429857110e71257cc77b499,1954796,3264,2448,3264; 2448; Apple; iPhone 6; iPhone 6 back camera 4.15mm f/2.2; Horizontal (normal);,valid,Upstream filename identifies iPhone HDR sample; inspect before public redistribution
jpeg/iphone/iphone_hdr_YES.jpg,JPEG,Apple iPhone,,,https://github.com/ianare/exif-samples,exif-samples/jpg/hdr/iphone_hdr_YES.jpg,see upstream repository,MEDIUM,2d61c3d2a555b45c836950afa1eeb3de6e01de99cf10535e4596a1618c697a0d,1973743,3264,2448,3264; 2448; Apple; iPhone 6; iPhone 6 back camera 4.15mm f/2.2; Horizontal (normal);,valid,Upstream filename identifies iPhone HDR sample; inspect before public redistribution
jpeg/nikon/Nikon_COOLPIX_P1.jpg,JPEG,Nikon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Nikon_COOLPIX_P1.jpg,see upstream repository,HIGH,896b47424dc1c87154a50b40394ae887a0b0d7d830f38a9d969295995f27ef43,7068,100,75,100; 75; NIKON; COOLPIX P1; Horizontal (normal);,valid,Exif Make/Model and MakerNote where present
jpeg/nikon/Nikon_D70.jpg,JPEG,Nikon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Nikon_D70.jpg,see upstream repository,HIGH,8e2a627b96ca71c20129161f46bda3d338407da99bd11b1055adb27af27d7ef5,14034,100,66,100; 66; NIKON CORPORATION; NIKON D70; Horizontal (normal); sRGB IEC61966-2.1;,valid,Exif Make/Model and MakerNote where present
jpeg/nikon/nikon-e950.jpg,JPEG,Nikon camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/exif-org/nikon-e950.jpg,see upstream repository,HIGH,7920518dec63a63074ca8e1861b61f69be687b3dd0caa3eb65cdaac4c4f43fd0,164151,800,600,800; 600; NIKON; E950; Horizontal (normal);,valid,Exif-org camera sample
jpeg/sony/Sony_HDR-HC3.jpg,JPEG,Sony camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/Sony_HDR-HC3.jpg,see upstream repository,HIGH,4f707d9b40d423a5246748bc1e05b66c4b87e30863f7a51ce18904a7ec43a39e,3565,100,64,100; 64; SONY; HDR-HC3; Horizontal (normal);,valid,Exif Make/Model evidence
jpeg/sony/sony-cybershot.jpg,JPEG,Sony camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/exif-org/sony-cybershot.jpg,see upstream repository,HIGH,0e69b12f261907dc9fcfb89082a6a61948db849d836673017a7e972d49184404,63643,640,480,640; 480; SONY; CYBERSHOT; Horizontal (normal);,valid,Exif Make/Model evidence
jpeg/sony/sony-d700.jpg,JPEG,Sony camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/exif-org/sony-d700.jpg,see upstream repository,HIGH,8ff0028190b36a6c4af79989b248dd5e949d289d32c5f0e005be2db45d363c98,79446,672,512,672; 512; SONY; DSC-D700; Horizontal (normal);,valid,Exif Make/Model evidence
jpeg/sony/sony-powershota5.jpg,JPEG,Sony camera,,,https://github.com/ianare/exif-samples,exif-samples/jpg/exif-org/sony-powershota5.jpg,see upstream repository,MEDIUM,64d7080a9414773fd0054441f9862dabe07ae28b9148511740603692f2f23b7c,58405,1024,768,1024; 768; Canon; Canon PowerShot A5;,valid,Exif-org sample; model metadata determines final evidence
pdf/acrobat/020-xmp.pdf,PDF,PDF producer (inspect metadata),,,https://github.com/py-pdf/sample-files,sample-files/020-xmp/output_with_metadata_pymupdf.pdf,see upstream repository,MEDIUM,34d7f0f0cf97931e862f3ecdd625bbbde736c11e96c62c22bfa63544c370700f,2097,,1,1.3; 1;,valid,Real sample; source does not establish Acrobat provenance
pdf/acrobat/021-pdfa.pdf,PDF,PDF producer (inspect metadata),,,https://github.com/py-pdf/sample-files,sample-files/021-pdfa/crazyones-pdfa.pdf,see upstream repository,MEDIUM,f05f2738a1fa8c1d2e1147881fe1a62516a7f8caaf784067790731f56df626c4,16368,,1,GPL Ghostscript 10.00.0; 1.4; 1;,valid,Real sample; source does not establish Acrobat provenance
pdf/acrobat/024-annotations.pdf,PDF,PDF producer (inspect metadata),,,https://github.com/py-pdf/sample-files,sample-files/024-annotations/annotated_pdf.pdf,see upstream repository,MEDIUM,b8cf4a13f1a2d3ae1a522114b2406f8210339ab9c27ba25d186078528bfc6bde,1833,,1,produced by FPDF2; 1.6; 1;,valid,Real sample; source does not establish Acrobat provenance
